id,company_name,contact_name,email,phone,industry,country,company_size,status,created_at,updated_at
7755eba9-ad08-4153-968a-86887cf2b014,Harris-King,Kurt Crane,tranfrank@house.biz,237.955.6056x01543,Finance,Cote d'Ivoire,166.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
a4a43c23-c81e-4c42-b524-b91a98f43462,Porter and Sons,Dr. Rebecca Young,gonzalesnicole@sanchez.com,316.629.0650x05230,Retail,Liberia,101.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
fea78078-2b6f-448f-9184-31fe36a9b6f0,Newman LLC,Tyler Crawford,golson@collins-boyd.com,2167854840,Technology,Marshall Islands,24.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
108267e0-6c58-4b90-80b2-801905c131ba,Rivera Group,Wesley King,amy68@farrell.com,001-791-812-2188x817,Education,Syrian Arab Republic,305.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
d24491d0-74aa-4ae3-bc05-b95b39bee870,"Obrien, Peterson and Mcdonald",Danielle Sellers,hsheppard@lyons.net,001-978-654-2154,Retail,Micronesia,211.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
20ebe173-53d7-4d7e-9077-c5c575e861de,"Flores, Carter and Ramirez",Carrie Turner,becky76@porter.com,896-581-5026,Healthcare,Niue,16.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
dc013c9b-9d06-4afc-8e73-716ba7542bbf,Johnson and Sons,Samantha Turner,sarah39@moore-gonzalez.com,(257)742-3883x1880,Finance,Cook Islands,141.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
c75d3f84-7215-41e4-9e73-d99bff85742b,Stanton PLC,Christine Collins,clove@willis.com,(618)448-9979,Healthcare,Andorra,424.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
afe32317-ea0d-48d7-95c2-bb1189549d00,Mcguire-Michael,Michael Williams,neverett@ponce-nelson.net,001-813-572-5172x2401,Technology,Portugal,183.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
a1f9edd4-0568-4984-a424-e8a776340165,Flowers LLC,Michelle Melton,dmathews@wilson.com,(423)329-6157,Technology,Burundi,356.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
eb2c6510-75b8-452d-b4e4-b20e766ee231,Austin-Bonilla,Todd Willis,xdavidson@griffin-decker.biz,001-460-554-5090x7412,Finance,Uganda,110.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
bdf36ff8-1adf-4336-863d-d94ca3b13848,Duncan-Parks,William Flores,reneewatts@lowery.info,(205)872-1941x5815,Technology,Isle of Man,473.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
1ac13934-4239-45ec-9473-58a70aa0a2d5,Ball-Pierce,Peggy Fowler,kellypalmer@mendoza.biz,985.879.8968,Retail,Gibraltar,39.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
24d3ccd9-da8e-4536-862f-7d14c0f3f03b,Stephens Group,Maria Woodard,mlawrence@sandoval-foster.com,961-541-7428,Retail,Morocco,74.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
3deba66e-1f93-4d47-88db-7b7ee9fef56a,"Vargas, Dawson and Armstrong",Rhonda Cruz,sherry60@patterson.com,4767301334,Finance,Belarus,500.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
e415e271-4888-41ab-b420-f8fd11382a94,"Brooks, Orr and Ballard",Leslie Brown,nbyrd@davis.info,+1-216-282-3431x65595,Technology,Austria,333.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
a186e2ae-0dec-4908-a8c1-55fed7c2e9c3,Barnett Ltd,Thomas Barrett,qhines@wall.com,(621)929-5274,Technology,Tuvalu,282.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
c1b02368-105e-42ea-a747-e39c3bc8d81c,Foley Group,Erik Salas,nicholasrobertson@elliott.com,817.510.4335x850,Technology,Uganda,338.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
f91485b9-1835-4498-9f4e-ce0587f6b597,"Mayo, Jones and Aguilar",Miss Ann Caldwell,murphybenjamin@arnold.biz,001-686-676-5330x32051,Education,Wallis and Futuna,290.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
0c06f5e3-5d72-4d4f-b758-12eebdc2421e,Wallace-Ray,Jacob Harrell,wandasmith@guerrero.com,+1-596-274-3576x15060,Retail,Estonia,266.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
8c8c1e3e-aaa3-4f24-ab47-5f10851d793b,Owens and Sons,Martha Nelson,acharles@jarvis.biz,(308)461-0340x5156,Education,Guinea,451.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
40e8ac42-ed47-4fea-9a39-f4456c5f52b8,Juarez Ltd,Robin Lewis,christinakeith@martin.com,693-205-6238x711,Retail,Bosnia and Herzegovina,402.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
84e5839e-7799-45a9-939f-f3b6362bad4e,Lewis Inc,David Flores,charles81@andrews.com,(685)852-9539x333,Retail,Sweden,412.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
b2309e20-e5c3-4197-93e8-e0570b70d540,Keith Group,Dominic Rogers,nicholas57@smith-mclean.net,(546)573-4513x20790,Retail,Nauru,232.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
4a17757a-524d-48d5-9c49-4007a6354d04,Quinn LLC,Allison Robertson,phoward@reed.com,001-871-930-8820x306,Retail,Burundi,309.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
64e7721a-afcb-4394-a30d-cd1a19039aa7,"Montgomery, Alvarado and Davidson",Michael Salazar,danieljackson@mckay-stewart.com,272-344-9381x38256,Technology,Burundi,340.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
84d7fb40-19c7-438d-b5e9-10e48c70d6ed,Smith and Sons,Ryan Newton,omartin@perry-gonzalez.com,+1-767-611-2236x854,Education,Cyprus,33.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
f54a4d61-127d-4c13-a274-618aabe73fec,Walls-White,Ryan Mendez,rgarza@moore-petersen.org,821.751.0062x342,Technology,Gabon,180.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
3966c2f0-c8f2-47fc-858a-b968aefcd459,Chandler PLC,Kathleen Fisher,waynegibson@vega.org,(963)723-8746,Healthcare,Nigeria,288.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
0473a006-1c69-4ae9-b61f-7421a626f15a,Manning Group,Jamie Wilkins,dana84@anderson.com,741-688-1596x527,Finance,Syrian Arab Republic,427.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
6f205e5b-2aa9-408c-8aac-44a85179b7b6,Park-Butler,Nicole Williamson,johnsnow@marks.com,208.792.8024,Finance,Spain,386.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
b73fd7ad-81de-43d1-95a4-60819bd70911,Harris LLC,Ian Jackson,amyhines@hernandez-baxter.org,+1-916-821-9642,Retail,Somalia,58.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
68d701d5-c559-44d7-82e3-c63b2208680f,Stone-Thomas,Samuel Gray,brian26@bailey-turner.biz,473-354-0894,Retail,Tonga,481.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
0355b37b-6af6-4dfd-bda9-147cf1ca8bbd,Rice-Noble,Brett Arnold,kgonzalez@bernard.com,001-454-958-0887x1729,Finance,Grenada,205.0,active,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
647225e9-44ac-4310-8fb1-f9b07e5438a4,Mckinney Group,Patrick Walker,michael14@roberts.net,(460)822-5551x0917,Retail,Equatorial Guinea,494.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
396d92fc-245b-4c6c-a8cb-898215000d42,Lynch Group,Ruben Scott,fred34@oconnor-singh.com,431.542.9676x01201,Finance,South Georgia and the South Sandwich Islands,327.0,inactive,2026-06-15T00:38:33.225695,2026-06-15T00:38:33.225695
